_old\_backgrounds\green.jpg,0,55,-31,19
_old\_backgrounds\green.jpg,1,55,-31,19
_old\_backgrounds\green.jpg,2,55,-30,19
_old\_backgrounds\green.jpg,3,55,-30,19
_old\_backgrounds\green.jpg,4,55,-30,19
_old\_backgrounds\green.jpg,5,55,-30,19
_old\_backgrounds\green.jpg,6,55,-30,19
_old\_backgrounds\green.jpg,7,55,-30,19
_old\_backgrounds\green.jpg,8,55,-30,19
_old\_backgrounds\green.jpg,9,55,-30,19
_old\_backgrounds\green.jpg,10,55,-30,19
_old\_backgrounds\green.jpg,11,55,-30,19
_old\_backgrounds\green.jpg,12,55,-30,19
_old\_backgrounds\green.jpg,13,55,-30,19
_old\_backgrounds\green.jpg,14,55,-30,19
_old\_backgrounds\green.jpg,15,55,-30,19
_old\_backgrounds\green.jpg,16,55,-30,19
_old\_backgrounds\green.jpg,17,55,-30,19
_old\_backgrounds\green.jpg,18,55,-30,19
_old\_backgrounds\green.jpg,19,55,-30,19
_old\_backgrounds\green.jpg,20,55,-30,19
_old\_backgrounds\green.jpg,21,55,-30,19
_old\_backgrounds\green.jpg,22,55,-30,19
_old\_backgrounds\green.jpg,23,55,-30,19
_old\_backgrounds\green.jpg,24,55,-30,19
_old\_backgrounds\green.jpg,25,55,-30,19
_old\_backgrounds\green.jpg,26,55,-30,19
_old\_backgrounds\green.jpg,27,55,-30,19
_old\_backgrounds\green.jpg,28,55,-30,19
_old\_backgrounds\green.jpg,29,55,-30,19
_old\_backgrounds\green.jpg,30,55,-30,19
_old\_backgrounds\green.jpg,31,55,-30,19
_old\_backgrounds\green.jpg,32,55,-30,19
_old\_backgrounds\green.jpg,33,55,-30,19
_old\_backgrounds\green.jpg,34,55,-30,19
_old\_backgrounds\green.jpg,35,55,-30,19
_old\_backgrounds\green.jpg,36,55,-30,19
_old\_backgrounds\green.jpg,37,55,-30,19
_old\_backgrounds\green.jpg,38,55,-30,19
_old\_backgrounds\green.jpg,39,55,-30,19
_old\_backgrounds\green.jpg,40,55,-30,19
_old\_backgrounds\green.jpg,41,55,-30,19
_old\_backgrounds\green.jpg,42,55,-30,19
_old\_backgrounds\green.jpg,43,55,-30,19
_old\_backgrounds\green.jpg,44,55,-30,19
_old\_backgrounds\green.jpg,45,55,-30,19
_old\_backgrounds\green.jpg,46,55,-30,19
_old\_backgrounds\green.jpg,47,56,-30,19
_old\_backgrounds\green.jpg,48,55,-30,19
_old\_backgrounds\green.jpg,49,55,-30,19
_old\_backgrounds\green.jpg,50,55,-30,19
_old\_backgrounds\green.jpg,51,55,-30,19
_old\_backgrounds\green.jpg,52,55,-30,19
_old\_backgrounds\green.jpg,53,56,-30,19
_old\_backgrounds\green.jpg,54,56,-30,19
_old\_backgrounds\green.jpg,55,56,-30,19
_old\_backgrounds\green.jpg,56,56,-30,19
_old\_backgrounds\green.jpg,57,56,-30,19
_old\_backgrounds\green.jpg,58,56,-30,19
_old\_backgrounds\green.jpg,59,56,-30,19
_old\_backgrounds\green.jpg,60,56,-30,19
_old\_backgrounds\green.jpg,61,56,-30,19
_old\_backgrounds\green.jpg,62,56,-30,19
_old\_backgrounds\green.jpg,63,56,-30,19
_old\_backgrounds\green.jpg,64,56,-30,19
_old\_backgrounds\green.jpg,65,56,-30,19
_old\_backgrounds\green.jpg,66,56,-30,19
_old\_backgrounds\green.jpg,67,56,-30,19
_old\_backgrounds\green.jpg,68,56,-30,19
_old\_backgrounds\green.jpg,69,56,-30,19
_old\_backgrounds\green.jpg,70,56,-30,19
_old\_backgrounds\green.jpg,71,56,-30,19
_old\_backgrounds\green.jpg,72,56,-30,19
_old\_backgrounds\green.jpg,73,56,-30,19
_old\_backgrounds\green.jpg,74,56,-30,19
_old\_backgrounds\green.jpg,75,56,-30,19
_old\_backgrounds\green.jpg,76,56,-30,19
_old\_backgrounds\green.jpg,77,56,-30,19
_old\_backgrounds\green.jpg,78,56,-30,19
